Match,Score,Position,Win,Actor_Loss,Critic_Loss
278,0.3484,3,0,0.2481,0.4551
279,0.5979,2,0,0.235,0.4981
280,0.0202,4,0,0.2505,0.4792
281,0.561,2,0,0.2627,0.5078
282,0.1769,3,0,0.1831,0.4653
283,0.0698,4,0,0.2415,0.4962
284,0.7187,1,1,0.2275,0.4718
285,0.1315,4,0,0.2854,0.4504
286,0.2122,3,0,0.2805,0.4989
287,0.0,4,0,0.2668,0.4403
288,0.0669,4,0,0.2626,0.4713
289,0.4113,3,0,0.2708,0.4735
290,0.0312,4,0,0.2393,0.4636
291,0.897,1,1,0.2837,0.4959
292,0.0635,4,0,0.2599,0.4824
293,0.5187,2,0,0.2758,0.4779
294,0.0,4,0,0.2743,0.4654
295,0.0393,4,0,0.2669,0.5181
296,0.3659,3,0,0.2618,0.5053
297,0.2141,3,0,0.2597,0.488
298,0.5682,2,0,0.2531,0.4822
299,0.6853,1,1,0.2634,0.4405
300,0.1872,3,0,0.2572,0.4561
301,0.1537,3,0,0.2428,0.4757
302,0.9072,1,1,0.2641,0.4873
303,0.2711,3,0,0.2569,0.4815
304,0.7778,1,1,0.2749,0.4713
305,1.0,1,1,0.2139,0.5129
306,0.8442,1,1,0.2502,0.4479
307,0.1969,3,0,0.2344,0.4814
308,0.5339,2,0,0.2379,0.4769
309,0.0996,4,0,0.2589,0.4625
310,0.982,1,1,0.2184,0.4627
311,0.0872,4,0,0.2492,0.4612
312,0.3227,3,0,0.2465,0.4252
313,0.4294,3,0,0.2243,0.4575
314,0.4444,2,0,0.2479,0.4671
315,0.1559,3,0,0.2289,0.4534
316,0.0327,4,0,0.2875,0.3875
317,0.0683,4,0,0.267,0.3943
318,0.7019,2,0,0.2438,0.4164
319,0.7412,1,1,0.2332,0.4367
320,0.5186,2,0,0.2513,0.4162
321,0.6385,2,0,0.256,0.4577
322,0.0,4,0,0.2452,0.4731
323,0.0131,4,0,0.2192,0.4765
324,0.1007,4,0,0.2348,0.4457
325,0.9326,1,1,0.24,0.4672
326,0.0015,4,0,0.2437,0.4169
327,0.0012,4,0,0.2436,0.4284
328,0.0536,4,0,0.2513,0.397
329,0.3919,3,0,0.263,0.4674
330,0.5269,2,0,0.2559,0.4893
331,0.4592,2,0,0.2469,0.419
332,0.0584,4,0,0.2093,0.3634
333,0.6797,2,0,0.2577,0.399
334,0.0,4,0,0.2498,0.4073
335,0.3935,3,0,0.2277,0.3862
336,0.5179,2,0,0.2329,0.3942
337,0.4894,2,0,0.2331,0.4304
338,0.8538,1,1,0.2224,0.4431
339,0.1524,3,0,0.1957,0.3606
340,0.1937,3,0,0.2078,0.4057
341,0.7227,1,1,0.2114,0.4219
342,0.567,2,0,0.1897,0.3879
343,0.1484,3,0,0.2062,0.4262
344,0.1641,3,0,0.2508,0.4147
345,0.2318,3,0,0.2371,0.4039
346,0.1109,3,0,0.2075,0.3906
347,0.1191,3,0,0.2126,0.4239
348,0.1587,4,0,0.2504,0.392
349,0.2611,3,0,0.2494,0.362
350,0.9173,1,1,0.2262,0.4139
351,0.6621,2,0,0.2478,0.3752
352,0.6279,2,0,0.2084,0.3621
353,0.8515,1,1,0.2278,0.4146
354,0.1473,3,0,0.1932,0.405
355,0.6483,2,0,0.2149,0.3831
356,0.7973,1,1,0.2222,0.4151
357,0.2152,3,0,0.1874,0.4201
358,0.087,4,0,0.2325,0.4138
359,0.4853,2,0,0.2353,0.4119
360,0.6123,2,0,0.2398,0.3568
361,0.1197,4,0,0.2658,0.4429
362,0.1758,3,0,0.2269,0.4201
363,0.1535,3,0,0.2168,0.374
364,0.4855,2,0,0.1855,0.4014
365,0.118,4,0,0.2249,0.4063
366,0.1218,4,0,0.2278,0.3989
367,0.4468,3,0,0.189,0.4531
368,0.0922,3,0,0.2108,0.3402
369,0.0716,4,0,0.2153,0.3534
370,0.6872,2,0,0.2252,0.328
371,0.1539,3,0,0.2312,0.3985
372,0.1084,4,0,0.2029,0.4117
373,0.8278,1,1,0.2171,0.4054
374,0.0,4,0,0.2241,0.3851
375,0.7945,1,1,0.2085,0.4052
376,0.3946,3,0,0.2032,0.3833
377,0.283,3,0,0.2254,0.4136
378,0.7372,1,1,0.2071,0.4239
379,0.5293,2,0,0.1863,0.3619
380,0.3173,3,0,0.2372,0.3805
381,0.6487,1,1,0.1875,0.3846
382,0.8726,1,1,0.2069,0.4303
383,0.9189,1,1,0.2147,0.3624
384,0.5715,2,0,0.2169,0.4189
385,0.0382,4,0,0.2107,0.3413
386,0.0,4,0,0.148,0.4218
387,0.3079,3,0,0.1924,0.4093
388,0.7446,1,1,0.2119,0.3783
389,0.1606,3,0,0.2033,0.4097
390,0.5711,2,0,0.2152,0.3664
391,0.2882,3,0,0.225,0.353
392,0.6891,2,0,0.2142,0.4311
393,0.7584,1,1,0.189,0.363
394,0.3175,3,0,0.1924,0.3988
395,0.0162,4,0,0.2353,0.411
396,0.9077,1,1,0.1987,0.4012
397,0.4241,2,0,0.1999,0.3942
398,0.0663,4,0,0.2115,0.3959
399,0.5558,2,0,0.2256,0.4065
400,0.0772,4,0,0.1824,0.3835
401,0.4212,2,0,0.19,0.3721
402,0.7006,1,1,0.1674,0.3315
403,0.3581,2,0,0.1931,0.3814
404,0.6787,1,1,0.21,0.4019
405,0.7811,1,1,0.1909,0.3373
406,0.0141,4,0,0.2329,0.3628
407,0.0214,4,0,0.1996,0.3817
408,0.3999,3,0,0.1948,0.4136
409,0.4393,2,0,0.1894,0.3327
410,0.9198,1,1,0.1688,0.3905
411,0.0857,4,0,0.1937,0.3553
412,0.5315,2,0,0.2023,0.3451
413,0.0038,4,0,0.1923,0.3371
414,0.0344,4,0,0.1988,0.3442
415,0.4546,2,0,0.1804,0.3782
416,0.3902,2,0,0.1685,0.3556
417,0.6062,2,0,0.1908,0.3832
418,0.2426,3,0,0.1969,0.3274
419,0.0941,4,0,0.1887,0.3813
420,0.6902,2,0,0.1957,0.3727
421,0.2108,3,0,0.2068,0.3137
422,0.4792,2,0,0.2063,0.4034
423,0.0543,4,0,0.2075,0.3678
424,0.1963,3,0,0.2101,0.3798
425,0.9132,1,1,0.1995,0.3909
426,0.5472,2,0,0.1962,0.3845
427,0.5877,2,0,0.2276,0.351
428,0.9597,1,1,0.204,0.3759
429,0.8154,1,1,0.171,0.2991
430,0.2451,3,0,0.1502,0.3646
431,0.1011,3,0,0.1822,0.404
432,0.2541,3,0,0.1991,0.3305
433,0.6062,2,0,0.2054,0.3782
434,0.8642,1,1,0.1608,0.4032
435,0.5747,2,0,0.2,0.37
436,0.1524,3,0,0.2077,0.3794
437,0.1665,3,0,0.1968,0.3009
438,0.4087,2,0,0.1925,0.3193
439,0.536,2,0,0.1811,0.3896
440,0.8496,1,1,0.1742,0.3748
441,0.0,4,0,0.1987,0.3602
442,0.6476,2,0,0.1943,0.3367
443,0.4116,2,0,0.1757,0.3526
444,0.4045,2,0,0.2326,0.3955
445,0.2651,3,0,0.1512,0.3396
446,0.7178,1,1,0.1764,0.363
447,0.4621,2,0,0.1652,0.3616
448,0.9504,1,1,0.1879,0.3208
449,0.5766,2,0,0.1409,0.3224
450,0.4291,2,0,0.2048,0.3852
451,0.0221,4,0,0.1992,0.3559
452,0.0,4,0,0.184,0.3177
453,1.0,1,1,0.1721,0.3282
454,0.6746,2,0,0.1922,0.3073
455,0.4346,2,0,0.1841,0.3682
456,0.4838,2,0,0.1962,0.328
457,0.7299,1,1,0.1743,0.3278
458,0.0976,3,0,0.1727,0.3595
459,0.0729,3,0,0.1975,0.2833
460,0.0,4,0,0.1883,0.3319
461,0.713,2,0,0.1718,0.3321
462,0.15,3,0,0.1822,0.3232
463,0.7437,1,1,0.1782,0.3146
464,0.5458,2,0,0.1835,0.3092
465,0.0577,4,0,0.1991,0.3383
466,0.0695,4,0,0.1664,0.2989
467,0.3486,3,0,0.1601,0.3335
468,0.1977,3,0,0.1781,0.3114
469,0.8134,1,1,0.1615,0.3128
470,0.8948,1,1,0.1537,0.3327
471,0.7938,1,1,0.1914,0.3112
472,0.9297,1,1,0.1654,0.3635
473,0.2788,3,0,0.1334,0.3207
474,0.2784,3,0,0.1874,0.3557
475,0.068,4,0,0.1613,0.3008
476,0.1632,3,0,0.1813,0.2996
477,0.6196,2,0,0.191,0.2726
478,0.0405,4,0,0.1728,0.3071
479,0.6461,2,0,0.1279,0.3143
480,0.8336,1,1,0.129,0.323
481,0.8995,1,1,0.1545,0.341
482,0.7903,1,1,0.1664,0.3382
483,0.1528,3,0,0.1912,0.3529
484,0.1777,3,0,0.1727,0.2917
485,0.3327,3,0,0.2189,0.3186
486,0.2961,3,0,0.1364,0.2871
487,0.3705,2,0,0.1683,0.3289
488,0.0309,4,0,0.1566,0.37
489,0.4361,2,0,0.1698,0.2794
490,0.1365,3,0,0.1998,0.3353
491,0.2542,3,0,0.2007,0.3456
492,0.646,2,0,0.1652,0.2868
493,0.0406,4,0,0.181,0.3261
494,0.4156,2,0,0.1677,0.3016
495,0.5261,2,0,0.1416,0.3082
496,0.5368,2,0,0.163,0.2994
497,0.0,4,0,0.1523,0.3039
498,0.7825,1,1,0.1608,0.3447
499,0.7868,1,1,0.1447,0.3071
500,0.3506,3,0,0.1645,0.2909
501,0.496,2,0,0.1672,0.3104
502,0.08,3,0,0.1748,0.2441
503,0.1353,3,0,0.1666,0.2827
504,0.2819,3,0,0.1928,0.3441
505,0.0752,4,0,0.2036,0.3017
506,0.3319,3,0,0.1513,0.2912
507,0.5679,2,0,0.1785,0.3101
508,0.8864,1,1,0.201,0.3265
509,0.2415,3,0,0.1783,0.3437
510,0.8407,1,1,0.1724,0.2897
511,0.4546,2,0,0.1213,0.2899
512,0.1561,3,0,0.1463,0.2954
513,0.7661,1,1,0.1489,0.3325
514,0.9015,1,1,0.1846,0.3027
515,0.0672,4,0,0.1419,0.3655
516,0.0389,4,0,0.1545,0.2951
517,0.0655,4,0,0.1727,0.3523
518,0.259,3,0,0.14,0.272
519,0.7623,1,1,0.1608,0.2566
520,0.9912,1,1,0.1579,0.2947
521,0.2743,3,0,0.1721,0.3314
522,0.0666,4,0,0.1675,0.2823
523,0.116,3,0,0.1665,0.2776
524,0.5043,2,0,0.1577,0.3263
525,0.9727,1,1,0.1198,0.3162
526,0.845,1,1,0.1558,0.2707
527,0.5787,2,0,0.1538,0.2684
528,0.0038,4,0,0.1677,0.3183
529,0.038,4,0,0.1436,0.2439
530,0.1277,3,0,0.1526,0.3247
531,0.9454,1,1,0.153,0.3126
532,0.1576,3,0,0.1369,0.2229
533,0.0,4,0,0.1278,0.2912
534,0.0638,4,0,0.1582,0.2309
535,0.9219,1,1,0.1704,0.2536
536,0.0897,4,0,0.1375,0.2741
537,0.8781,1,1,0.1453,0.2506
538,0.9781,1,1,0.166,0.3547
539,0.9061,1,1,0.1676,0.3136
540,0.3657,3,0,0.1534,0.3281
541,0.1865,3,0,0.1568,0.2824
542,0.0799,4,0,0.1588,0.287
543,0.1459,3,0,0.1621,0.333
544,0.3978,2,0,0.1262,0.2981
545,0.3864,3,0,0.1857,0.3029
546,0.3313,3,0,0.1525,0.2567
547,0.8185,1,1,0.1613,0.256
548,0.6073,2,0,0.1312,0.2908
549,0.0574,4,0,0.1424,0.2937
550,0.7143,1,1,0.1534,0.2521
551,0.7404,1,1,0.1095,0.2922
552,0.7329,1,1,0.1273,0.2443
553,0.8688,1,1,0.1305,0.2809
554,0.7738,1,1,0.1191,0.2369
555,0.3482,3,0,0.1466,0.3193
556,0.0478,4,0,0.1427,0.2696
557,0.5735,2,0,0.1723,0.2577
558,0.0591,4,0,0.1212,0.2436
559,0.0939,4,0,0.148,0.2402
560,0.4937,2,0,0.1254,0.2901
561,0.577,2,0,0.1084,0.3066
562,0.1136,3,0,0.1542,0.3031
563,0.3381,3,0,0.1556,0.3174
564,0.9952,1,1,0.153,0.3275
565,0.5525,2,0,0.1153,0.3033
566,0.7491,1,1,0.143,0.259
567,0.0,4,0,0.153,0.2787
568,0.9819,1,1,0.1599,0.2054
569,0.959,1,1,0.1531,0.2917
570,0.3504,2,0,0.1596,0.2766
571,0.1773,4,0,0.1614,0.3195
572,0.234,3,0,0.1418,0.2489
573,0.7332,1,1,0.1494,0.2862
574,0.8262,1,1,0.1592,0.2401
575,0.7157,1,1,0.1467,0.2664
576,0.0762,4,0,0.1626,0.2202
577,0.414,2,0,0.1559,0.3095
578,1.0,1,1,0.1255,0.2999
579,0.3059,3,0,0.1118,0.2537
580,0.0525,4,0,0.138,0.2752
581,0.0409,4,0,0.1137,0.2681
582,0.6715,1,1,0.1387,0.2481
583,0.3607,3,0,0.1367,0.2697
584,0.2019,3,0,0.1626,0.2522
585,0.0163,4,0,0.1464,0.2945
586,0.8124,1,1,0.1556,0.2583
587,0.0727,4,0,0.126,0.3358
588,0.3053,3,0,0.1661,0.2613
589,0.5785,2,0,0.1531,0.2666
590,0.7676,1,1,0.1436,0.2786
591,0.7126,1,1,0.0986,0.2874
592,0.9451,1,1,0.1581,0.2642
593,0.0183,4,0,0.1697,0.2766
594,0.9021,1,1,0.1342,0.2664
595,0.6363,2,0,0.1344,0.2371
596,0.0239,4,0,0.1232,0.2286
597,0.6197,2,0,0.1006,0.2806
598,0.6986,2,0,0.1218,0.3046
599,0.7499,1,1,0.1659,0.2098
600,0.1066,4,0,0.1541,0.2152
601,0.1065,4,0,0.1168,0.2145
602,0.185,3,0,0.1204,0.2806
603,0.3853,3,0,0.1745,0.2827
604,0.4356,2,0,0.1111,0.2272
605,0.5118,2,0,0.117,0.3222
606,0.5246,2,0,0.1224,0.244
607,0.3683,3,0,0.1036,0.2982
608,0.9227,1,1,0.1198,0.279
609,0.9011,1,1,0.1199,0.2255
610,0.3585,3,0,0.112,0.2413
611,0.7824,1,1,0.1564,0.2272
612,0.8278,1,1,0.1062,0.2126
613,0.7793,1,1,0.1265,0.2449
614,0.2747,3,0,0.1116,0.2161
615,0.1002,3,0,0.1247,0.2464
616,0.7425,1,1,0.1102,0.3092
617,0.4386,3,0,0.1299,0.2717
618,0.08,4,0,0.1346,0.2337
619,0.3895,2,0,0.156,0.2308
620,0.082,4,0,0.1159,0.2375
621,0.8345,1,1,0.1598,0.3112
622,0.1206,3,0,0.1111,0.216
623,0.463,2,0,0.1222,0.2482
624,0.7608,1,1,0.1621,0.2618
625,0.1249,4,0,0.1846,0.2839
626,0.0638,4,0,0.16,0.237
627,0.4809,2,0,0.1216,0.2177
628,0.9168,1,1,0.1361,0.2549
629,0.1371,3,0,0.1393,0.2852
630,0.8764,1,1,0.1323,0.2372
631,0.4734,2,0,0.105,0.2197
632,0.2055,4,0,0.1296,0.2478
633,0.0685,3,0,0.1146,0.1954
634,0.5874,2,0,0.1051,0.2371
635,0.8021,1,1,0.118,0.2786
636,0.9042,1,1,0.1304,0.2691
637,0.1012,4,0,0.1439,0.2382
638,0.1326,4,0,0.1185,0.2918
639,0.6548,1,1,0.1218,0.299
640,0.5351,2,0,0.1392,0.2612
641,0.1859,3,0,0.1244,0.1968
642,0.6379,1,1,0.1304,0.1841
643,0.3205,3,0,0.1241,0.2816
644,0.7908,1,1,0.1263,0.247
645,0.5543,2,0,0.1005,0.2883
646,0.868,1,1,0.1243,0.1987
647,0.226,3,0,0.1502,0.2336
648,0.2664,3,0,0.1248,0.2689
649,0.3834,3,0,0.1045,0.2158
650,0.0709,4,0,0.1505,0.2677
651,0.4142,3,0,0.1352,0.2332
652,0.6871,2,0,0.1359,0.2373
653,0.402,2,0,0.1352,0.2006
654,0.9339,1,1,0.0976,0.2432
655,0.2661,3,0,0.1329,0.3011
656,0.2122,3,0,0.1474,0.2466
657,0.0404,4,0,0.1099,0.2108
658,0.1474,4,0,0.0807,0.276
659,0.564,2,0,0.1264,0.2109
660,0.1096,4,0,0.1196,0.285
661,0.9416,1,1,0.0877,0.1948
662,0.4796,2,0,0.1306,0.2408
663,0.2931,3,0,0.1289,0.278
664,0.7557,1,1,0.0888,0.2059
665,0.8358,1,1,0.1557,0.234
666,0.7247,2,0,0.1327,0.2658
667,0.802,1,1,0.0797,0.1631
668,0.0127,4,0,0.1336,0.2582
669,0.679,1,1,0.1329,0.2273
670,0.5319,2,0,0.1452,0.2729
671,0.7244,1,1,0.1042,0.2044
672,0.7901,1,1,0.1331,0.1872
673,0.089,4,0,0.1115,0.2122
